task,domain,origin,crisis_overlap,crisis_quarters,seed,generator,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95
conditional,UK,2017Q4,True,4,43,Minnesota BVAR,1.190485,1.021582,39.032048,1.097106,0.821429,0.880952,2.147966,3.338956
conditional,UK,2018Q4,True,8,7,Minnesota BVAR,1.285317,1.121106,41.591869,1.300464,0.821429,0.892857,1.928555,2.969466
conditional,UK,2018Q4,True,8,19,Minnesota BVAR,1.286987,1.123323,41.515416,1.299566,0.809524,0.892857,1.930194,2.996937
conditional,UK,2018Q4,True,8,43,Minnesota BVAR,1.282722,1.120557,41.471746,1.297846,0.821429,0.892857,1.921145,2.978726
conditional,UK,2019Q4,True,8,7,Minnesota BVAR,1.618044,1.422148,44.641436,1.603132,0.714286,0.833333,1.903017,2.926174
conditional,UK,2019Q4,True,8,19,Minnesota BVAR,1.618721,1.423563,44.719116,1.600885,0.714286,0.833333,1.887759,2.939596
conditional,UK,2019Q4,True,8,43,Minnesota BVAR,1.617490,1.423572,44.479808,1.606492,0.714286,0.845238,1.910369,2.967100
conditional,UK,2020Q4,True,4,7,Minnesota BVAR,1.042190,0.901924,16.798986,0.633239,0.630952,0.761905,1.898700,2.913063
conditional,UK,2020Q4,True,4,19,Minnesota BVAR,1.043872,0.903266,16.814748,0.633949,0.630952,0.773810,1.902256,2.941027
conditional,UK,2020Q4,True,4,43,Minnesota BVAR,1.039434,0.897148,16.534130,0.630161,0.619048,0.773810,1.898151,2.917408
conditional,UK,2021Q4,False,0,7,Minnesota BVAR,0.912288,0.767277,12.116656,0.363490,0.654762,0.666667,2.046278,3.160274
conditional,UK,2021Q4,False,0,19,Minnesota BVAR,0.914477,0.767041,12.216615,0.362650,0.654762,0.666667,2.067817,3.169985
conditional,UK,2021Q4,False,0,43,Minnesota BVAR,0.911487,0.762647,11.979535,0.362267,0.654762,0.666667,2.111236,3.213320
conditional,UK,2022Q4,False,0,7,Minnesota BVAR,0.749604,0.583355,9.184117,0.298256,0.666667,0.916667,2.625169,3.923424
conditional,UK,2022Q4,False,0,19,Minnesota BVAR,0.732480,0.572017,9.148742,0.288288,0.690476,0.916667,2.613570,3.880318
conditional,UK,2022Q4,False,0,43,Minnesota BVAR,0.740265,0.572468,9.337780,0.293129,0.690476,0.904762,2.613297,3.889218
